acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;LIGHT;mag_x;mag_y;mag_z;azimuth;pitch;roll;proximity;pressure;sound;lat;lon;altitude;alt_google;loc_alt_pres;speed_kmh;accuracy;loc_orientation;sats_in_range;lapsed;datetime
-1.2;0.134;9.612;-1.271;0.155;9.723;0.088;-0.04;0.055;0.075;0.014;0.021;10.0;2.1;21.0;-50.0;12.1;-0.4;7.5;0.0;1022.2;57.51;47.61224;-122.25811;-71.0;NaN;;9.5;9.67742;47.2;13 / 15;8303007;2015-07-28 19:47:44:799
-1.28;0.06;9.639;-1.318;0.099;9.717;0.055;-0.059;0.14;-0.005;-0.017;0.022;15.0;2.5;20.1;-50.3;10.9;-0.7;8.0;0.0;1022.2;58.92;47.61226;-122.25809;-71.0;NaN;;10.8;9.67742;36.1;12 / 14;8304007;2015-07-28 19:47:45:799
-0.976;0.115;9.25;-1.078;0.139;9.746;0.094;-0.012;-0.303;0.024;-0.014;0.021;9.0;1.9;20.6;-50.5;10.0;-0.7;6.5;0.0;1022.2;57.23;47.61228;-122.25806;-67.7;NaN;;9.8;9.67742;38.7;13 / 15;8305008;2015-07-28 19:47:46:800
-0.872;0.153;9.665;-1.025;0.102;9.752;0.104;0.013;0.091;0.038;-0.02;-0.003;12.0;1.4;20.5;-50.2;12.1;-0.4;6.1;0.0;1022.2;57.77;47.61229;-122.25803;-67.7;NaN;;10.3;9.67742;39.2;12 / 13;8306007;2015-07-28 19:47:47:799
-0.803;0.024;10.278;-0.881;-0.037;9.767;0.053;0.018;0.563;0.039;-0.002;-0.023;9.0;1.0;20.7;-50.1;9.8;0.3;5.2;0.0;1022.3;57.34;47.61231;-122.25801;-67.7;NaN;;10.0;9.67742;40.5;12 / 14;8307008;2015-07-28 19:47:48:800
-0.868;0.019;9.733;-0.829;0.017;9.772;-0.014;0.08;0.031;-0.052;0.026;-0.013;11.0;0.2;20.8;-50.0;11.3;-0.1;4.8;0.0;1022.2;55.39;47.61233;-122.25799;-64.5;NaN;;9.8;9.67742;40.9;11 / 13;8308008;2015-07-28 19:47:49:800
-0.991;0.173;8.995;-1.003;0.203;9.753;0.167;-0.014;-0.631;0.016;-0.005;-0.019;10.0;1.3;20.4;-50.3;11.3;-1.1;6.0;0.0;1022.2;62.33;47.61235;-122.25797;-67.7;NaN;;10.5;9.67742;40.8;13 / 15;8309007;2015-07-28 19:47:50:799
-1.101;0.087;9.476;-1.129;0.126;9.741;0.033;-0.028;-0.1;0.012;-0.016;0.012;14.0;0.8;20.3;-50.4;13.0;-0.7;6.6;0.0;1022.2;55.97;47.61237;-122.25794;-64.5;NaN;;10.7;9.67742;40.2;12 / 14;8310008;2015-07-28 19:47:51:800
-0.584;0.047;9.098;-0.787;0.101;9.775;0.11;-0.021;-0.361;-0.017;-0.037;-0.004;9.0;0.4;20.4;-50.7;12.0;-0.8;4.9;0.0;1022.2;61.91;47.6124;-122.25791;-64.5;NaN;;10.1;9.67742;41.9;12 / 15;8311008;2015-07-28 19:47:52:800
-0.572;-0.019;10.227;-0.682;0.058;9.783;0.105;-0.106;0.465;0.046;0.008;-0.011;11.0;-1.1;21.1;-50.2;11.9;-0.3;4.0;0.0;1022.3;66.54;47.61241;-122.25789;-64.5;NaN;;9.5;9.67742;45.3;11 / 14;8312007;2015-07-28 19:47:53:799
-0.822;0.077;9.847;-0.829;-0.034;9.772;-0.003;0.052;0.158;-0.039;0.033;-0.034;14.0;-1.2;20.4;-50.9;15.0;0.2;4.8;0.0;1022.2;60.92;47.61243;-122.25787;-61.3;NaN;;9.4;9.67742;43.7;11 / 13;8313007;2015-07-28 19:47:54:799
-1.464;0.278;8.935;-1.231;0.201;9.727;-0.177;0.089;-0.514;-0.002;0.026;0.021;10.0;0.3;19.8;-50.7;15.5;-0.9;6.5;0.0;1022.2;59.6;47.61244;-122.25784;-61.3;NaN;;10.0;9.67742;45.0;12 / 13;8314007;2015-07-28 19:47:55:799
-1.098;0.188;9.061;-1.264;0.216;9.723;0.172;-0.031;-0.485;0.012;-0.027;0.008;10.0;1.3;20.2;-50.5;15.3;-1.2;7.6;0.0;1022.2;58.19;47.61246;-122.25781;-61.3;NaN;;10.1;9.67742;44.8;13 / 15;8315007;2015-07-28 19:47:56:799
